GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JunyHarang,com.junyharang.config.logback.service,ErrorLogServiceImpl,6,0,0,0,2,0,1,0,1,0
JunyHarang,com.junyharang.common.common_enum,SearchType,35,0,0,0,6,0,3,0,3,0
JunyHarang,com.junyharang.common.util,AgentUtils,178,0,16,0,38,0,28,0,20,0
JunyHarang,com.junyharang.common.util,JsonUtils,126,0,0,0,32,0,9,0,9,0
JunyHarang,com.junyharang.common.util,MDCUtil,43,0,4,0,17,0,9,0,7,0
JunyHarang,com.junyharang.common.util,HttpUtils,39,0,4,0,11,0,7,0,5,0
JunyHarang,com.junyharang.model.entity.common,BaseTimeEntity,3,0,0,0,1,0,1,0,1,0
JunyHarang,com.junyharang.controller.sample,SampleController,55,4,0,0,11,1,1,1,1,1
JunyHarang,com.junyharang.controller.sample.environment,WebRestController,28,0,6,0,4,0,5,0,2,0
JunyHarang,com.junyharang.config.logback.appender,CustomLogbackAppender,438,13,20,0,112,6,16,2,6,2
JunyHarang,com.junyharang.config.logback.controller,LogTestController,28,3,8,0,7,1,7,1,3,1
JunyHarang,com.junyharang.config.logback.controller,BaseController,48,7,4,0,13,2,5,2,3,2
JunyHarang,com.junyharang.constant,Pagination,23,0,0,0,6,0,1,0,1,0
JunyHarang,com.junyharang.config.logback.entity,ErrorLog,574,9,126,0,82,4,96,1,33,1
JunyHarang,com.junyharang.config.logback.model,SlackActionStyle,35,0,0,0,6,0,3,0,3,0
JunyHarang,com.junyharang.config.logback.model,SlackAction,89,0,4,0,30,0,14,0,12,0
JunyHarang,com.junyharang.config.logback.model,SlackActionType,28,0,0,0,6,0,3,0,3,0
JunyHarang,com.junyharang.config.logback.model,SlackAttachment,767,0,124,0,143,0,80,0,18,0
JunyHarang,com.junyharang.config.logback.model,SlackMessage,419,0,58,0,81,0,41,0,12,0
JunyHarang,com.junyharang.config.logback.model,SlackApi,145,0,10,0,43,0,11,0,6,0
JunyHarang,com.junyharang.config.logback.model,SlackField,211,0,32,0,45,0,25,0,9,0
JunyHarang,com.junyharang.config.logback.filters,LogbackMdcFilter,34,0,0,0,12,0,4,0,4,0
